数据组,实验序号,配置ID,A水平,B水平,C水平,D水平,精度模式,Batch,算子实现,图优化策略,Buffer优化,Tiling优化,单流,输入形状,编译成功,记录检查,FPS,平均批延迟_ms,P95批延迟_ms,P99批延迟_ms,平均余弦,最小余弦,实际测量Batch,验证样本数,随机种子,验证错误,其他错误,ATC命令,数据来源
tf,1,A1-B1-C1-D1,1,1,1,1,force_fp32,1,high_precision,standard_l2,l2_optimize,0,否,"input_1:1,224,224,3",是,记录满足检查,133.348944,7.499122,7.49435,11.94263,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp1 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,2,A1-B1-C1-D2,1,1,1,2,force_fp32,1,high_precision,l2_with_tiling,l2_optimize,1,否,"input_1:1,224,224,3",是,记录满足检查,134.274526,7.447429,7.4531,10.94738,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp2 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,3,A1-B1-C1-D3,1,1,1,3,force_fp32,1,high_precision,l2_single_stream,l2_optimize,0,是,"input_1:1,224,224,3",是,记录满足检查,134.177093,7.452837,7.55515,9.06465,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp3 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,4,A1-B1-C2-D1,1,1,2,1,force_fp32,1,high_performance,standard_l2,l2_optimize,0,否,"input_1:1,224,224,3",是,记录满足检查,135.300055,7.39098,7.4431,9.9294,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp4 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,5,A1-B1-C2-D2,1,1,2,2,force_fp32,1,high_performance,l2_with_tiling,l2_optimize,1,否,"input_1:1,224,224,3",是,记录满足检查,135.476995,7.381327,7.5034,8.1613,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp5 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,6,A1-B1-C2-D3,1,1,2,3,force_fp32,1,high_performance,l2_single_stream,l2_optimize,0,是,"input_1:1,224,224,3",是,记录满足检查,133.646815,7.482408,7.4903,11.37094,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp6 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,7,A1-B1-C3-D1,1,1,3,1,force_fp32,1,high_performance_for_all,standard_l2,l2_optimize,0,否,"input_1:1,224,224,3",是,记录满足检查,134.904467,7.412653,7.49465,9.4161,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp7 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,8,A1-B1-C3-D2,1,1,3,2,force_fp32,1,high_performance_for_all,l2_with_tiling,l2_optimize,1,否,"input_1:1,224,224,3",是,记录满足检查,133.100089,7.513143,7.51555,11.36196,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp8 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,9,A1-B1-C3-D3,1,1,3,3,force_fp32,1,high_performance_for_all,l2_single_stream,l2_optimize,0,是,"input_1:1,224,224,3",是,记录满足检查,136.206825,7.341776,7.47265,7.99765,1,0.999998,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:1,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp9 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
tf,10,A1-B2-C1-D1,1,2,1,1,force_fp32,4,high_precision,standard_l2,l2_optimize,0,否,"input_1:4,224,224,3",是,记录满足检查,129.087412,30.986755,31.3732,31.39673,0.999999,0.999999,4,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet-50-tensorflow2-classification-v1-quchong.onnx --input_shape=""input_1:4,224,224,3"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp10 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json
